Date,Tour,Venue,City,Order,Song
16-11-2025,No Tour Data,Hall 10,Goyang-si,1,kaleido proud fiesta
16-11-2025,No Tour Data,Hall 10,Goyang-si,2,Orion wo Nazoru
16-11-2025,No Tour Data,Hall 10,Goyang-si,3,Kimi no Hitomi ni Koishi Tenai
16-11-2025,No Tour Data,Hall 10,Goyang-si,4,Invisible Sensation
16-11-2025,No Tour Data,Hall 10,Goyang-si,5,Boujaku no Charisma
16-11-2025,No Tour Data,Hall 10,Goyang-si,6,Koisuru Wakusei
16-11-2025,No Tour Data,Hall 10,Goyang-si,7,fake town baby
16-11-2025,No Tour Data,Hall 10,Goyang-si,8,Chaos ga Kiwamaru
16-11-2025,No Tour Data,Hall 10,Goyang-si,9,Tengoku to Jigoku
16-11-2025,No Tour Data,Hall 10,Goyang-si,10,Sugar Song to Bitter Step
22-06-2025,No Tour Data,SKY STAGE,Nagakute,1,Tengoku to Jigoku
22-06-2025,No Tour Data,SKY STAGE,Nagakute,2,23:25
22-06-2025,No Tour Data,SKY STAGE,Nagakute,3,Chaos ga Kiwamaru
22-06-2025,No Tour Data,SKY STAGE,Nagakute,4,Friday Novels
22-06-2025,No Tour Data,SKY STAGE,Nagakute,5,Phantom Joke
22-06-2025,No Tour Data,SKY STAGE,Nagakute,6,Boujaku no Charisma
22-06-2025,No Tour Data,SKY STAGE,Nagakute,7,Sugar Song to Bitter Step
22-06-2025,No Tour Data,SKY STAGE,Nagakute,8,Cheap Cheap Endroll
16-04-2025,No Tour Data,Diamond Hall,Nagoya,1,Siren in the Spy
16-04-2025,No Tour Data,Diamond Hall,Nagoya,2,Tengoku to Jigoku
16-04-2025,No Tour Data,Diamond Hall,Nagoya,3,Orion wo Nazoru
16-04-2025,No Tour Data,Diamond Hall,Nagoya,4,Sugar Song to Bitter Step
16-04-2025,No Tour Data,Diamond Hall,Nagoya,5,mix juice no Iutouri
16-04-2025,No Tour Data,Diamond Hall,Nagoya,6,Silent Libre Mirage
16-04-2025,No Tour Data,Diamond Hall,Nagoya,7,Kimi no Hitomi ni Koishi Tenai
16-04-2025,No Tour Data,Diamond Hall,Nagoya,8,Sekai wa Fancy
16-04-2025,No Tour Data,Diamond Hall,Nagoya,9,Chaos ga Kiwamaru
16-04-2025,No Tour Data,Diamond Hall,Nagoya,10,Haru ga Kite Bokura
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,1,Santa Claus wa Juutai-chuu
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,2,Otonoba Chukan Shiken
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,3,Tengoku to Jigoku
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,4,kaleido proud fiesta
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,5,3 minutes replay
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,6,"kid, I like quartet"
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,7,Atorakushon ga Hajimaru (they call it “NO.6”)
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,8,Silent Libre Mirage
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,9,Sekai wa Fancy
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,10,like coffee no Omajinai
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,11,City peel
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,12,Yuuutsu wa Princess
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,13,WINDOW akeru
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,14,harmonized finale
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,15,Instrumental Jam
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,16,Boujaku no Charisma
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,17,Simple Simple Anecdote
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,18,Chandelier Waltz
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,19,Houkago Marriage
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,20,Kimi no Hitomi ni Koishi Tenai
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,21,Chaos ga Kiwamaru
08-02-2025,Charisma & Princess,BLUE LIVE HIROSHIMA,Hiroshima,22,Sugar Song to Bitter Step
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,1,Santa Claus wa Juutai-chuu
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,2,Otonoba Chukan Shiken
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,3,Tengoku to Jigoku
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,4,kaleido proud fiesta
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,5,3 minutes replay
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,6,"kid, I like quartet"
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,7,Atorakushon ga Hajimaru (they call it “NO.6”)
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,8,Silent Libre Mirage
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,9,Sekai wa Fancy
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,10,like coffee no Omajinai
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,11,City peel
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,12,Yuuutsu wa Princess
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,13,WINDOW akeru
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,14,harmonized finale
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,15,Instrumental Jam
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,16,Boujaku no Charisma
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,17,Simple Simple Anecdote
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,18,Chandelier Waltz
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,19,Houkago Marriage
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,20,Kimi no Hitomi ni Koishi Tenai
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,21,Chaos ga Kiwamaru
07-02-2025,Charisma & Princess,Zepp Fukuoka,Fukuoka,22,Sugar Song to Bitter Step
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,1,Santa Claus wa Juutai-chuu
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,2,Otonoba Chukan Shiken
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,3,Tengoku to Jigoku
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,4,kaleido proud fiesta
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,5,3 minutes replay
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,6,"kid, I like quartet"
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,7,Atorakushon ga Hajimaru (they call it “NO.6”)
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,8,Silent Libre Mirage
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,9,Sekai wa Fancy
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,10,like coffee no Omajinai
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,11,City peel
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,12,Yuuutsu wa Princess
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,13,WINDOW akeru
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,14,harmonized finale
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,15,Instrumental Jam
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,16,Boujaku no Charisma
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,17,Simple Simple Anecdote
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,18,Chandelier Waltz
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,19,Houkago Marriage
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,20,Kimi no Hitomi ni Koishi Tenai
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,21,Chaos ga Kiwamaru
31-01-2025,Charisma & Princess,Zepp Sapporo,Sapporo,22,Sugar Song to Bitter Step
25-01-2025,No Tour Data,Mizuho PayPay Dome Fukuoka,Fukuoka,1,Invisible Sensation
25-01-2025,No Tour Data,Mizuho PayPay Dome Fukuoka,Fukuoka,2,Bachigai Hummingbird
25-01-2025,No Tour Data,Mizuho PayPay Dome Fukuoka,Fukuoka,3,Boujaku no Charisma
25-01-2025,No Tour Data,Mizuho PayPay Dome Fukuoka,Fukuoka,4,Orion wo Nazoru
25-01-2025,No Tour Data,Mizuho PayPay Dome Fukuoka,Fukuoka,5,Koisuru Wakusei
25-01-2025,No Tour Data,Mizuho PayPay Dome Fukuoka,Fukuoka,6,Nani ka ga Kawari So
25-01-2025,No Tour Data,Mizuho PayPay Dome Fukuoka,Fukuoka,7,Chaos ga Kiwamaru
25-01-2025,No Tour Data,Mizuho PayPay Dome Fukuoka,Fukuoka,8,Sugar Song to Bitter Step
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,1,Santa Claus wa Juutai-chuu
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,2,Otonoba Chukan Shiken
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,3,Tengoku to Jigoku
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,4,kaleido proud fiesta
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,5,3 minutes replay
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,6,"kid, I like quartet"
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,7,Atorakushon ga Hajimaru (they call it “NO.6”)
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,8,Silent Libre Mirage
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,9,Sekai wa Fancy
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,10,like coffee no Omajinai
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,11,City peel
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,12,Yuuutsu wa Princess
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,13,WINDOW akeru
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,14,harmonized finale
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,15,Instrumental Jam
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,16,Boujaku no Charisma
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,17,Simple Simple Anecdote
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,18,Chandelier Waltz
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,19,Houkago Marriage
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,20,Kimi no Hitomi ni Koishi Tenai
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,21,Chaos ga Kiwamaru
17-01-2025,Charisma & Princess,SENDAI GIGS,Sendai,22,Sugar Song to Bitter Step
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,1,Santa Claus wa Juutai-chuu
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,2,Otonoba Chukan Shiken
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,3,Tengoku to Jigoku
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,4,kaleido proud fiesta
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,5,3 minutes replay
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,6,"kid, I like quartet"
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,7,Atorakushon ga Hajimaru (they call it “NO.6”)
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,8,Silent Libre Mirage
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,9,Sekai wa Fancy
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,10,like coffee no Omajinai
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,11,City peel
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,12,Yuuutsu wa Princess
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,13,WINDOW akeru
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,14,harmonized finale
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,15,Instrumental Jam
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,16,Boujaku no Charisma
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,17,Simple Simple Anecdote
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,18,Chandelier Waltz
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,19,Houkago Marriage
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,20,Kimi no Hitomi ni Koishi Tenai
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,21,Chaos ga Kiwamaru
11-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,22,Sugar Song to Bitter Step
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,1,Santa Claus wa Juutai-chuu
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,2,Otonoba Chukan Shiken
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,3,Tengoku to Jigoku
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,4,kaleido proud fiesta
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,5,3 minutes replay
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,6,"kid, I like quartet"
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,7,Atorakushon ga Hajimaru (they call it “NO.6”)
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,8,Silent Libre Mirage
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,9,Sekai wa Fancy
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,10,like coffee no Omajinai
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,11,City peel
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,12,Yuuutsu wa Princess
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,13,WINDOW akeru
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,14,harmonized finale
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,15,Instrumental Jam
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,16,Boujaku no Charisma
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,17,Simple Simple Anecdote
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,18,Chandelier Waltz
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,19,Houkago Marriage
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,20,Kimi no Hitomi ni Koishi Tenai
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,21,Chaos ga Kiwamaru
10-01-2025,Charisma & Princess,TOKYO GARDEN THEATER,Tokyo,22,Sugar Song to Bitter Step
28-12-2024,No Tour Data,6 Goukan,Osaka,1,Chaos ga Kiwamaru
28-12-2024,No Tour Data,6 Goukan,Osaka,2,Koisuru Wakusei
28-12-2024,No Tour Data,6 Goukan,Osaka,3,Orion wo Nazoru
28-12-2024,No Tour Data,6 Goukan,Osaka,4,Nani ka ga Kawari So
28-12-2024,No Tour Data,6 Goukan,Osaka,5,Sekai wa Fancy
28-12-2024,No Tour Data,6 Goukan,Osaka,6,Boujaku no Charisma
28-12-2024,No Tour Data,6 Goukan,Osaka,7,Sugar Song to Bitter Step
28-12-2024,No Tour Data,6 Goukan,Osaka,8,Sentimental Period
28-12-2024,No Tour Data,6 Goukan,Osaka,9,Cheap Cheap Endroll
25-12-2024,No Tour Data,5 Goukan,Osaka,1,Program continued
25-12-2024,No Tour Data,5 Goukan,Osaka,2,Boujaku no Charisma
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,1,to the CIDER ROAD
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,2,Tameiki shooting the MOON
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,3,Boujaku no Charisma
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,4,Sakura no Ato (all quartets lead to the?)
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,5,Serenade ga Tomaranai
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,6,Anti-Trendy Club
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,7,Pandemic Sudden Death
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,8,Sugar Song to Bitter Step
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,9,Seihitsu Kanbi Akigure Jojou
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,10,Sawarenai Uta
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,11,like coffee no Omajinai
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,12,Tettoutetsubi Yonayona Drive
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,13,Chaos ga Kiwamaru
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,14,Kimi no Hitomi ni Koishi Tenai
24-11-2024,No Tour Data,"Takasaki Geijutsu Gekijou, Studio Theatre",Takasaki,15,Galileo no Showcase
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,1,to the CIDER ROAD
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,2,Boujaku no Charisma
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,3,Sugar Song to Bitter Step
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,4,Karakuri Karukare
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,5,Anti-Trendy Club
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,6,Nani ka ga Kawari So
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,7,Kimi no Hitomi ni Koishi Tenai
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,8,Invisible Sensation
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,9,Chaos ga Kiwamaru
20-11-2024,No Tour Data,Zepp Sapporo,Sapporo,10,Full Color Program
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,1,Karakuri Karukare
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,2,Sanpo Saki My Life
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,3,Boujaku no Charisma
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,4,Sakura no Ato (all quartets lead to the?)
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,5,Serenade ga Tomaranai
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,6,Anti-Trendy Club
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,7,Pandemic Sudden Death
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,8,Sugar Song to Bitter Step
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,9,Seihitsu Kanbi Akigure Jojou
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,10,Sawarenai Uta
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,11,Hakoniwa Rock Show
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,12,Tettoutetsubi Yonayona Drive
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,13,Chaos ga Kiwamaru
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,14,Kimi no Hitomi ni Koishi Tenai
18-11-2024,No Tour Data,Zepp Nagoya,Nagoya,15,Galileo no Showcase
08-11-2024,No Tour Data,KINTEX,Goyang-si,1,Orion wo Nazoru
08-11-2024,No Tour Data,KINTEX,Goyang-si,2,Invisible Sensation
08-11-2024,No Tour Data,KINTEX,Goyang-si,3,fake town baby
08-11-2024,No Tour Data,KINTEX,Goyang-si,4,Chaos ga Kiwamaru
08-11-2024,No Tour Data,KINTEX,Goyang-si,5,Numbness like a ginger
08-11-2024,No Tour Data,KINTEX,Goyang-si,6,Boujaku no Charisma
08-11-2024,No Tour Data,KINTEX,Goyang-si,7,kaleido proud fiesta
08-11-2024,No Tour Data,KINTEX,Goyang-si,8,Phantom Joke
08-11-2024,No Tour Data,KINTEX,Goyang-si,9,Sugar Song to Bitter Step
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,1,harmonized finale
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,2,Orion wo Nazoru
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,3,Invisible Sensation
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,4,Sakura no Ato (all quartets lead to the?)
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,5,"Catch up, latency"
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,6,Boujaku no Charisma
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,7,fake town baby
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,8,Numbness like a ginger
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,9,kaleido proud fiesta
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,10,"10% roll, 10% romance"
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,11,Linear Blue wo Kikinagara
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,12,Phantom Joke
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,13,Ikenai fool logic
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,14,Tettoutetsubi Yonayona Drive
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,15,Chaos ga Kiwamaru
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,16,Sugar Song to Bitter Step
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,17,Haru ga Kite Bokura
04-11-2024,No Tour Data,Bandai Namco Shanghai Base,Shanghai,18,Sugar Song to Bitter Step
03-11-2024,No Tour Data,Yue Space,Beijing,1,harmonized finale
03-11-2024,No Tour Data,Yue Space,Beijing,2,Orion wo Nazoru
03-11-2024,No Tour Data,Yue Space,Beijing,3,Invisible Sensation
03-11-2024,No Tour Data,Yue Space,Beijing,4,Sakura no Ato (all quartets lead to the?)
03-11-2024,No Tour Data,Yue Space,Beijing,5,"Catch up, latency"
03-11-2024,No Tour Data,Yue Space,Beijing,6,Kimi no Hitomi ni Koishi Tenai
03-11-2024,No Tour Data,Yue Space,Beijing,7,fake town baby
03-11-2024,No Tour Data,Yue Space,Beijing,8,Numbness like a ginger
03-11-2024,No Tour Data,Yue Space,Beijing,9,Scarsdale
03-11-2024,No Tour Data,Yue Space,Beijing,10,kaleido proud fiesta
03-11-2024,No Tour Data,Yue Space,Beijing,11,"10% roll, 10% romance"
03-11-2024,No Tour Data,Yue Space,Beijing,12,Linear Blue wo Kikinagara
03-11-2024,No Tour Data,Yue Space,Beijing,13,Phantom Joke
03-11-2024,No Tour Data,Yue Space,Beijing,14,Ikenai fool logic
03-11-2024,No Tour Data,Yue Space,Beijing,15,Tettoutetsubi Yonayona Drive
03-11-2024,No Tour Data,Yue Space,Beijing,16,Sugar Song to Bitter Step
03-11-2024,No Tour Data,Yue Space,Beijing,17,Haru ga Kite Bokura
03-11-2024,No Tour Data,Yue Space,Beijing,18,Sugar Song to Bitter Step
14-10-2024,No Tour Data,Umi no Mori Kouen,Tokyo,1,Invisible Sensation
14-10-2024,No Tour Data,Umi no Mori Kouen,Tokyo,2,"kid, I like quartet"
14-10-2024,No Tour Data,Umi no Mori Kouen,Tokyo,3,Orion wo Nazoru
14-10-2024,No Tour Data,Umi no Mori Kouen,Tokyo,4,Boujaku no Charisma
14-10-2024,No Tour Data,Umi no Mori Kouen,Tokyo,5,Bachigai Hummingbird
14-10-2024,No Tour Data,Umi no Mori Kouen,Tokyo,6,Chaos ga Kiwamaru
14-10-2024,No Tour Data,Umi no Mori Kouen,Tokyo,7,Sugar Song to Bitter Step
12-10-2024,No Tour Data,G Messe Gunma,Takasaki,1,Invisible Sensation
12-10-2024,No Tour Data,G Messe Gunma,Takasaki,2,"kid, I like quartet"
12-10-2024,No Tour Data,G Messe Gunma,Takasaki,3,Orion wo Nazoru
12-10-2024,No Tour Data,G Messe Gunma,Takasaki,4,Boujaku no Charisma
12-10-2024,No Tour Data,G Messe Gunma,Takasaki,5,Bachigai Hummingbird
12-10-2024,No Tour Data,G Messe Gunma,Takasaki,6,Chaos ga Kiwamaru
12-10-2024,No Tour Data,G Messe Gunma,Takasaki,7,Sugar Song to Bitter Step
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,1,Sentimental Period
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,2,Invisible Sensation
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,3,Chaos ga Kiwamaru
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,4,Orion wo Nazoru
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,5,Ryusei no Squall
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,6,Linear Blue wo Kikinagara
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,7,"10% roll, 10% romance"
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,8,kaleido proud fiesta
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,9,Haru ga Kite Bokura
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,10,Numbness like a ginger
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,11,Nihil Pip Viper
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,12,Ikenai fool logic
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,13,Phantom Joke
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,14,Another World
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,15,Sakura no Ato (all quartets lead to the?)
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,16,MR. Andy
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,17,fake town baby
06-10-2024,20th BEST MACHINE,PIA ARENA MM,Yokohama,18,Tettoutetsubi Yonayona Drive
