曲A,曲B,演奏公演数,全公演割合,演奏ツアー数,全ツアー割合
Galileo no Showcase,Karakuri Karukare,106,0.09733700642791551,7,0.17073170731707318
23:25,Toushindai no Chikyu,47,0.04315886134067952,7,0.17073170731707318
Atorakushon ga Hajimaru (they call it “NO.6”),Tettoutetsubi Yonayona Drive,80,0.07346189164370982,7,0.17073170731707318
Kimi no Hitomi ni Koishi Tenai,Sugar Song to Bitter Step,125,0.1147842056932966,7,0.17073170731707318
Atorakushon ga Hajimaru (they call it “NO.6”),Sakura no Ato (all quartets lead to the?),101,0.09274563820018365,7,0.17073170731707318
Counter Identity,"kid, I like quartet",56,0.051423324150596875,7,0.17073170731707318
Bachigai Hummingbird,Sugar Song to Bitter Step,177,0.162534435261708,7,0.17073170731707318
Bachigai Hummingbird,Counter Identity,77,0.0707070707070707,7,0.17073170731707318
Bachigai Hummingbird,Toushindai no Chikyu,87,0.07988980716253444,7,0.17073170731707318
Counter Identity,Hakoniwa Rock Show,45,0.04132231404958678,7,0.17073170731707318
Bachigai Hummingbird,to the CIDER ROAD,94,0.08631772268135904,7,0.17073170731707318
Ride on Time,cody beats,65,0.05968778696051423,7,0.17073170731707318
Bachigai Hummingbird,Linear Blue wo Kikinagara,102,0.09366391184573003,7,0.17073170731707318
Galileo no Showcase,Toushindai no Chikyu,77,0.0707070707070707,7,0.17073170731707318
Otonoba Chukan Shiken,Sugar Song to Bitter Step,141,0.12947658402203857,7,0.17073170731707318
23:25,Messenger From Zen Sekai,55,0.050505050505050504,7,0.17073170731707318
Counter Identity,Galileo no Showcase,88,0.08080808080808081,7,0.17073170731707318
Full Color Program,Toushindai no Chikyu,48,0.0440771349862259,7,0.17073170731707318
Sanpo Saki My Life,cody beats,65,0.05968778696051423,7,0.17073170731707318
MR. Andy,Sentimental Period,182,0.16712580348943984,7,0.17073170731707318
Galileo no Showcase,Sora no Tobikata,53,0.048668503213957756,7,0.17073170731707318
Sora no Tobikata,cody beats,47,0.04315886134067952,7,0.17073170731707318
Master Volume,cody beats,64,0.05876951331496786,7,0.17073170731707318
Invisible Sensation,Sugar Song to Bitter Step,139,0.12764003673094582,7,0.17073170731707318
23:25,Sanpo Saki My Life,55,0.050505050505050504,7,0.17073170731707318
MR. Andy,Sanpo Saki My Life,121,0.1111111111111111,7,0.17073170731707318
Tettoutetsubi Yonayona Drive,crazy birthday,73,0.06703397612488522,7,0.17073170731707318
Instrumental Jam,Sugar Song to Bitter Step,82,0.07529843893480258,7,0.17073170731707318
23:25,Tengoku to Jigoku,78,0.07162534435261708,7,0.17073170731707318
Linear Blue wo Kikinagara,Sakura no Ato (all quartets lead to the?),80,0.07346189164370982,7,0.17073170731707318
"10% roll, 10% romance",Sugar Song to Bitter Step,137,0.1258034894398531,7,0.17073170731707318
Chandelier Waltz,Tengoku to Jigoku,133,0.12213039485766758,7,0.17073170731707318
Hakoniwa Rock Show,Karakuri Karukare,79,0.07254361799816346,7,0.17073170731707318
Tettoutetsubi Yonayona Drive,harmonized finale,74,0.06795224977043159,7,0.17073170731707318
Full Color Program,Sakura no Ato (all quartets lead to the?),80,0.07346189164370982,7,0.17073170731707318
Clover,Galileo no Showcase,132,0.12121212121212122,7,0.17073170731707318
Linear Blue wo Kikinagara,"kid, I like quartet",88,0.08080808080808081,7,0.17073170731707318
Sugar Song to Bitter Step,kaleido proud fiesta,106,0.09733700642791551,7,0.17073170731707318
23:25,Linear Blue wo Kikinagara,61,0.05601469237832874,7,0.17073170731707318
Galileo no Showcase,Sentimental Period,201,0.18457300275482094,7,0.17073170731707318
Chandelier Waltz,cody beats,59,0.05417814508723599,7,0.17073170731707318
Sakura no Ato (all quartets lead to the?),Tengoku to Jigoku,172,0.15794306703397612,7,0.17073170731707318
Orion wo Nazoru,Tengoku to Jigoku,147,0.1349862258953168,7,0.17073170731707318
cody beats,"kid, I like quartet",67,0.06152433425160698,7,0.17073170731707318
Drum Solo,Sugar Song to Bitter Step,124,0.11386593204775022,7,0.17073170731707318
Hakoniwa Rock Show,Sanpo Saki My Life,70,0.0642791551882461,7,0.17073170731707318
23:25,Hakoniwa Rock Show,80,0.07346189164370982,7,0.17073170731707318
Full Color Program,Tettoutetsubi Yonayona Drive,53,0.048668503213957756,7,0.17073170731707318
Orion wo Nazoru,to the CIDER ROAD,94,0.08631772268135904,6,0.14634146341463414
Full Color Program,Light Flat,28,0.025711662075298437,6,0.14634146341463414
Counter Identity,Orion wo Nazoru,63,0.05785123966942149,6,0.14634146341463414
MR. Andy,cody beats,75,0.06887052341597796,6,0.14634146341463414
Sanpo Saki My Life,Sora no Tobikata,37,0.03397612488521579,6,0.14634146341463414
Orion wo Nazoru,Scarsdale,98,0.08999081726354453,6,0.14634146341463414
Galileo no Showcase,Sugar Song to Bitter Step,116,0.10651974288337925,6,0.14634146341463414
Full Color Program,Sugar Song to Bitter Step,85,0.0780532598714417,6,0.14634146341463414
Airabuniju,cody beats,43,0.03948576675849403,6,0.14634146341463414
Shoegazer Speaker,Tettoutetsubi Yonayona Drive,112,0.10284664830119375,6,0.14634146341463414
Chaos ga Kiwamaru,kaleido proud fiesta,94,0.08631772268135904,6,0.14634146341463414
Full Color Program,Snow Reverse,28,0.025711662075298437,6,0.14634146341463414
Orion wo Nazoru,harmonized finale,95,0.08723599632690542,6,0.14634146341463414
Master Volume,Toushindai no Chikyu,57,0.05234159779614325,6,0.14634146341463414
Atorakushon ga Hajimaru (they call it “NO.6”),Sugar Song to Bitter Step,84,0.07713498622589532,6,0.14634146341463414
Sakura no Ato (all quartets lead to the?),crazy birthday,99,0.09090909090909091,6,0.14634146341463414
Karakuri Karukare,cody beats,31,0.028466483011937556,6,0.14634146341463414
Master Volume,Ride on Time,56,0.051423324150596875,6,0.14634146341463414
Sugar Song to Bitter Step,fake town baby,130,0.11937557392102846,6,0.14634146341463414
Chandelier Waltz,to the CIDER ROAD,93,0.08539944903581267,6,0.14634146341463414
Chandelier Waltz,crazy birthday,82,0.07529843893480258,6,0.14634146341463414
Bachigai Hummingbird,Karakuri Karukare,52,0.047750229568411386,6,0.14634146341463414
Galileo no Showcase,Messenger From Zen Sekai,76,0.06978879706152434,6,0.14634146341463414
Counter Identity,Karakuri Karukare,15,0.013774104683195593,6,0.14634146341463414
Full Color Program,Messenger From Zen Sekai,68,0.06244260789715335,6,0.14634146341463414
Bachigai Hummingbird,Drum Solo,84,0.07713498622589532,6,0.14634146341463414
23:25,Sentimental Period,86,0.07897153351698806,6,0.14634146341463414
Chandelier Waltz,harmonized finale,87,0.07988980716253444,6,0.14634146341463414
Chandelier Waltz,Otonoba Chukan Shiken,110,0.10101010101010101,6,0.14634146341463414
Clover,Master Volume,79,0.07254361799816346,6,0.14634146341463414
Sentimental Period,cody beats,67,0.06152433425160698,6,0.14634146341463414
Sentimental Period,Sora no Tobikata,48,0.0440771349862259,6,0.14634146341463414
Orion wo Nazoru,Sugar Song to Bitter Step,163,0.14967860422405876,6,0.14634146341463414
Bachigai Hummingbird,Scarsdale,105,0.09641873278236915,6,0.14634146341463414
Bachigai Hummingbird,Master Volume,72,0.06611570247933884,6,0.14634146341463414
MR. Andy,"kid, I like quartet",84,0.07713498622589532,6,0.14634146341463414
Galileo no Showcase,Sanpo Saki My Life,114,0.1046831955922865,6,0.14634146341463414
