曲A(前),曲B(後),繋ぎ公演数,全公演での発生割合,繋ぎツアー数,全ツアーでの発生割合
Tameiki shooting the MOON,cody beats,25,0.02295684113865932,2,0.04878048780487805
cody beats,Love Song wa Totsuzen ni? ~What is the name of that mystery??~,25,0.02295684113865932,2,0.04878048780487805
Love Song wa Totsuzen ni? ~What is the name of that mystery??~,Serenade ga Tomaranai,25,0.02295684113865932,2,0.04878048780487805
Serenade ga Tomaranai,Miss. Sandy,25,0.02295684113865932,2,0.04878048780487805
Miss. Sandy,Counter Identity,25,0.02295684113865932,2,0.04878048780487805
Hikari Nodokeki Haru no Hi ni,Itsuka no Shounen,25,0.02295684113865932,2,0.04878048780487805
Itsuka no Shounen,Cross Heart 1 Gousen (Advantage In a Long Time),25,0.02295684113865932,2,0.04878048780487805
Sawarenai Uta,Nonfiction Compass,13,0.011937557392102846,2,0.04878048780487805
Chandelier Waltz,Tettoutetsubi Yonayona Drive,12,0.011019283746556474,2,0.04878048780487805
Chandelier Waltz,Cheap Cheap Endroll,42,0.03856749311294766,2,0.04878048780487805
Sawarenai Uta,Love Song wa Totsuzen ni? ~What is the name of that mystery??~,31,0.028466483011937556,2,0.04878048780487805
Hatch I need,Mermaid Scandalous,25,0.02295684113865932,2,0.04878048780487805
Koko de Atta ga Kemonomichi,Nonfiction Compass,31,0.028466483011937556,2,0.04878048780487805
Mikazuki no Yoru no Mannaka,Santa Claus wa Juutai-chuu,31,0.028466483011937556,2,0.04878048780487805
Santa Claus wa Juutai-chuu,Snow Reverse,32,0.02938475665748393,2,0.04878048780487805
Signal ABC,Radial Night Chaser,31,0.028466483011937556,2,0.04878048780487805
Radial Night Chaser,"I wanna believe, Yoru o Iku",31,0.028466483011937556,2,0.04878048780487805
"I wanna believe, Yoru o Iku",Micro Paradiso!,31,0.028466483011937556,2,0.04878048780487805
Micro Paradiso!,5-bu-go no Stardust,31,0.028466483011937556,2,0.04878048780487805
5-bu-go no Stardust,Sawarenai Uta,31,0.028466483011937556,2,0.04878048780487805
Sentimental Period,Ride on Time,2,0.0018365472910927456,2,0.04878048780487805
Sugar Song to Bitter Step,Full Color Program,19,0.017447199265381085,2,0.04878048780487805
Orion wo Nazoru,Full Color Program,11,0.010101010101010102,2,0.04878048780487805
Sora no Tobikata,"kid, I like quartet",4,0.0036730945821854912,2,0.04878048780487805
Bachigai Hummingbird,cody beats,8,0.0073461891643709825,2,0.04878048780487805
Clover,Bachigai Hummingbird,5,0.004591368227731864,2,0.04878048780487805
Hakoniwa Rock Show,Scarsdale,8,0.0073461891643709825,2,0.04878048780487805
CAPACITY Koeru,Bachigai Hummingbird,20,0.018365472910927456,2,0.04878048780487805
mouth to mouse(sent you),Signal ABC,15,0.013774104683195593,2,0.04878048780487805
Shupurehikouru ~Sekai ga Owaru Mae ni~,Worldwide Supergirl,17,0.015610651974288337,2,0.04878048780487805
harmonized finale,Galileo no Showcase,12,0.011019283746556474,2,0.04878048780487805
Snow Loop,Koko de Atta ga Kemonomichi,31,0.028466483011937556,2,0.04878048780487805
Cross Heart 1 Gousen (Advantage In a Long Time),Hakoniwa Rock Show,26,0.023875114784205693,2,0.04878048780487805
Sanpo Saki My Life,"kid, I like quartet",11,0.010101010101010102,2,0.04878048780487805
Mekator Jikuu Tankentai,Nani ka ga Kawari So,38,0.03489439853076217,2,0.04878048780487805
Orion wo Nazoru,Nagareboshi wo Uchi Otose,37,0.03397612488521579,2,0.04878048780487805
Orchestra o Mi ni Ikou,Instrumental Jam,18,0.01652892561983471,2,0.04878048780487805
Sora no Tobikata,Deirai Kyousou Gakudan,13,0.011937557392102846,2,0.04878048780487805
Nagareboshi wo Uchi Otose,Hakoniwa Rock Show,37,0.03397612488521579,2,0.04878048780487805
Hakoniwa Rock Show,to the CIDER ROAD,37,0.03397612488521579,2,0.04878048780487805
Sora no Tobikata,Full Color Program,4,0.0036730945821854912,2,0.04878048780487805
Airabuniju,Full Color Program,7,0.006427915518824609,2,0.04878048780487805
Orchestra o Mi ni Ikou,fake town baby,14,0.012855831037649219,2,0.04878048780487805
to the CIDER ROAD,Kimi ga Otona ni Natte Shimau Mae ni,37,0.03397612488521579,2,0.04878048780487805
Itsuka no Shounen,MR. Andy,12,0.011019283746556474,2,0.04878048780487805
Tettoutetsubi Yonayona Drive,"kid, I like quartet",31,0.028466483011937556,2,0.04878048780487805
Kimi ga Otona ni Natte Shimau Mae ni,Mekator Jikuu Tankentai,37,0.03397612488521579,2,0.04878048780487805
Nani ka ga Kawari So,Chandelier Waltz,37,0.03397612488521579,2,0.04878048780487805
Tasogare in the Spy,Siren in the Spy,37,0.03397612488521579,2,0.04878048780487805
Karakuri Karukare,23:25,5,0.004591368227731864,2,0.04878048780487805
Chandelier Waltz,Momai termination,37,0.03397612488521579,2,0.04878048780487805
Momai termination,WINDOW Akeru,37,0.03397612488521579,2,0.04878048780487805
Shoegazer Speaker,harmonized finale,37,0.03397612488521579,2,0.04878048780487805
harmonized finale,Tengoku to Jigoku,40,0.03673094582185491,2,0.04878048780487805
